"Dstat 0.7.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","localhost.localdomain",,,,"User:","root"
"Cmdline:","dstat -cmnr --socket --output conn_freq_sys_stat.csv",,,,"Date:","31 Oct 2014 04:15:18 CST"

"total cpu usage",,,,,,"memory usage",,,,"net/total",,"io/total",,"sockets",,,,
"usr","sys","idl","wai","hiq","siq","used","buff","cach","free","recv","send","read","writ","tot","tcp","udp","raw","frg"
1.953,0.678,96.991,0.373,0.001,0.005,525033472.0,312094720.0,689274880.0,2225303552.0,0.0,0.0,2.552,1.196,763.0,16.0,7.0,0.0,0.0
2.015,1.259,96.725,0.0,0.0,0.0,524722176.0,312094720.0,690262016.0,2224627712.0,992.0,0.0,0.0,0.0,763.0,16.0,7.0,0.0,0.0
2.244,1.247,96.509,0.0,0.0,0.0,525729792.0,312094720.0,690298880.0,2223583232.0,862.0,0.0,0.0,0.0,763.0,16.0,7.0,0.0,0.0
2.513,1.508,95.980,0.0,0.0,0.0,528973824.0,312094720.0,690745344.0,2219892736.0,960.0,0.0,0.0,0.0,767.0,20.0,7.0,0.0,0.0
1.253,1.003,97.744,0.0,0.0,0.0,528879616.0,312094720.0,690728960.0,2220003328.0,812.0,1494.0,0.0,22.0,767.0,20.0,7.0,0.0,0.0
1.508,1.005,97.487,0.0,0.0,0.0,528674816.0,312094720.0,689291264.0,2221645824.0,1172.0,0.0,0.0,0.0,767.0,20.0,7.0,0.0,0.0
1.496,1.247,95.511,1.746,0.0,0.0,528797696.0,312111104.0,689152000.0,2221645824.0,4600.0,0.0,0.0,8.0,767.0,20.0,7.0,0.0,0.0
1.504,1.003,97.494,0.0,0.0,0.0,528797696.0,312111104.0,689152000.0,2221645824.0,13051.0,2229.0,0.0,0.0,767.0,20.0,7.0,0.0,0.0
1.754,1.003,97.243,0.0,0.0,0.0,528797696.0,312111104.0,689152000.0,2221645824.0,5916.0,0.0,0.0,0.0,767.0,20.0,7.0,0.0,0.0
1.508,0.754,97.739,0.0,0.0,0.0,528797696.0,312111104.0,689152000.0,2221645824.0,3544.0,42.0,0.0,5.0,767.0,20.0,7.0,0.0,0.0
1.253,1.253,97.494,0.0,0.0,0.0,528797696.0,312111104.0,689152000.0,2221645824.0,1254.0,0.0,0.0,0.0,767.0,20.0,7.0,0.0,0.0
1.504,1.504,96.241,0.752,0.0,0.0,528117760.0,312119296.0,691855360.0,2219614208.0,1236.0,42.0,0.0,3.0,767.0,20.0,7.0,0.0,0.0
1.504,1.253,96.742,0.501,0.0,0.0,528211968.0,312127488.0,692006912.0,2219360256.0,2212.0,2145.0,0.0,2.0,771.0,24.0,7.0,0.0,0.0
2.0,1.250,96.0,0.750,0.0,0.0,528764928.0,312135680.0,690794496.0,2220011520.0,3956.0,1680.0,0.0,2.0,771.0,24.0,7.0,0.0,0.0
2.0,1.250,96.750,0.0,0.0,0.0,528977920.0,312135680.0,690716672.0,2219876352.0,3761.0,1614.0,0.0,0.0,770.0,23.0,7.0,0.0,0.0
1.759,1.005,97.236,0.0,0.0,0.0,529039360.0,312135680.0,690663424.0,2219868160.0,3513.0,1198.0,0.0,0.0,770.0,23.0,7.0,0.0,0.0
1.750,1.250,95.0,2.0,0.0,0.0,528986112.0,312143872.0,690581504.0,2219995136.0,3710.0,1820.0,0.0,6.0,771.0,24.0,7.0,0.0,0.0
2.261,1.508,96.231,0.0,0.0,0.0,528891904.0,312143872.0,690610176.0,2220060672.0,3526.0,1404.0,0.0,0.0,770.0,23.0,7.0,0.0,0.0
1.750,1.250,96.250,0.500,0.0,0.250,528838656.0,312152064.0,690671616.0,2220044288.0,3841.0,1618.0,0.0,2.0,770.0,23.0,7.0,0.0,0.0
1.508,1.256,96.482,0.754,0.0,0.0,528977920.0,312160256.0,690651136.0,2219917312.0,3432.0,1548.0,0.0,2.0,770.0,23.0,7.0,0.0,0.0
2.239,1.493,96.269,0.0,0.0,0.0,528912384.0,312160256.0,690597888.0,2220036096.0,2951.0,1194.0,0.0,0.0,769.0,22.0,7.0,0.0,0.0
1.759,1.256,96.734,0.251,0.0,0.0,528855040.0,312168448.0,690655232.0,2220027904.0,3596.0,1330.0,0.0,4.0,771.0,24.0,7.0,0.0,0.0
2.244,1.746,96.010,0.0,0.0,0.0,528719872.0,312168448.0,692060160.0,2218758144.0,3613.0,1754.0,0.0,0.0,770.0,23.0,7.0,0.0,0.0
2.0,1.500,96.500,0.0,0.0,0.0,528891904.0,312168448.0,692142080.0,2218504192.0,4376.0,2100.0,0.0,0.0,771.0,24.0,7.0,0.0,0.0
1.750,1.250,96.250,0.750,0.0,0.0,528928768.0,312176640.0,690827264.0,2219773952.0,5048.0,2660.0,0.0,5.0,771.0,24.0,7.0,0.0,0.0
