"Dstat 0.7.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","localhost.localdomain",,,,"User:","root"
"Cmdline:","dstat -cmnr --socket --output err_protocol_sys_stat.csv",,,,"Date:","31 Oct 2014 04:44:32 CST"

"total cpu usage",,,,,,"memory usage",,,,"net/total",,"io/total",,"sockets",,,,
"usr","sys","idl","wai","hiq","siq","used","buff","cach","free","recv","send","read","writ","tot","tcp","udp","raw","frg"
2.127,0.726,96.793,0.348,0.001,0.006,535310336.0,315072512.0,694018048.0,2207305728.0,0.0,0.0,2.256,1.178,784.0,14.0,7.0,0.0,0.0
4.030,1.008,93.955,1.008,0.0,0.0,535527424.0,315080704.0,694038528.0,2207059968.0,1421.0,152.0,0.0,2.0,784.0,14.0,7.0,0.0,0.0
4.010,1.504,94.486,0.0,0.0,0.0,535502848.0,315080704.0,695840768.0,2205282304.0,3488.0,1556.0,0.0,0.0,788.0,18.0,7.0,0.0,0.0
3.258,1.003,94.987,0.752,0.0,0.0,535846912.0,315088896.0,695488512.0,2205282304.0,2293.0,412.0,0.0,7.0,789.0,19.0,7.0,0.0,0.0
3.759,1.504,94.737,0.0,0.0,0.0,535764992.0,315088896.0,694935552.0,2205917184.0,1364.0,0.0,0.0,0.0,789.0,19.0,7.0,0.0,0.0
3.266,1.005,95.729,0.0,0.0,0.0,535769088.0,315088896.0,693407744.0,2207440896.0,1144.0,0.0,0.0,0.0,789.0,19.0,7.0,0.0,0.0
3.250,1.0,93.750,2.0,0.0,0.0,535605248.0,315097088.0,696356864.0,2204647424.0,1794.0,180.0,0.0,2.0,789.0,19.0,7.0,0.0,0.0
3.500,0.750,94.500,1.250,0.0,0.0,535646208.0,315105280.0,696434688.0,2204520448.0,1542.0,330.0,0.0,2.0,789.0,19.0,7.0,0.0,0.0
3.250,1.500,95.250,0.0,0.0,0.0,535543808.0,315105280.0,696537088.0,2204520448.0,1066.0,132.0,0.0,0.0,789.0,19.0,7.0,0.0,0.0
3.008,1.253,94.486,1.253,0.0,0.0,535379968.0,315113472.0,696565760.0,2204647424.0,2648.0,0.0,0.0,7.0,789.0,19.0,7.0,0.0,0.0
5.486,1.247,93.267,0.0,0.0,0.0,534003712.0,315113472.0,693497856.0,2209091584.0,2096.0,0.0,0.0,0.0,789.0,19.0,7.0,0.0,0.0
3.759,1.253,94.987,0.0,0.0,0.0,534069248.0,315113472.0,693432320.0,2209091584.0,1364.0,0.0,0.0,0.0,789.0,19.0,7.0,0.0,0.0
4.774,1.759,93.467,0.0,0.0,0.0,534413312.0,315113472.0,695214080.0,2206965760.0,3752.0,1640.0,0.0,0.0,788.0,18.0,7.0,0.0,0.0
5.013,1.754,92.982,0.251,0.0,0.0,534802432.0,315121664.0,699768832.0,2202013696.0,1549.0,342.0,0.0,2.0,789.0,19.0,7.0,0.0,0.0
3.759,1.003,95.238,0.0,0.0,0.0,534536192.0,315121664.0,698511360.0,2203537408.0,844.0,0.0,0.0,0.0,789.0,19.0,7.0,0.0,0.0
4.020,1.508,93.719,0.754,0.0,0.0,533917696.0,315129856.0,697851904.0,2204807168.0,1998.0,396.0,0.0,5.0,789.0,19.0,7.0,0.0,0.0
5.0,1.250,93.750,0.0,0.0,0.0,534269952.0,315129856.0,697880576.0,2204426240.0,1430.0,132.0,0.0,0.0,789.0,19.0,7.0,0.0,0.0
4.010,1.253,94.737,0.0,0.0,0.0,534220800.0,315129856.0,697880576.0,2204475392.0,2024.0,396.0,0.0,0.0,789.0,19.0,7.0,0.0,0.0
3.0,1.0,96.0,0.0,0.0,0.0,534204416.0,315129856.0,698023936.0,2204348416.0,1674.0,132.0,0.0,0.0,789.0,19.0,7.0,0.0,0.0
3.250,1.0,94.500,1.250,0.0,0.0,534200320.0,315138048.0,698019840.0,2204348416.0,1335.0,0.0,0.0,2.0,789.0,19.0,7.0,0.0,0.0
4.010,1.003,94.236,0.752,0.0,0.0,534073344.0,315146240.0,697884672.0,2204602368.0,1448.0,396.0,0.0,6.0,789.0,19.0,7.0,0.0,0.0
4.261,1.253,94.486,0.0,0.0,0.0,534188032.0,315146240.0,697896960.0,2204475392.0,1676.0,132.0,0.0,0.0,789.0,19.0,7.0,0.0,0.0
4.282,1.511,94.207,0.0,0.0,0.0,534159360.0,315146240.0,698179584.0,2204221440.0,4489.0,1710.0,0.0,0.0,789.0,19.0,7.0,0.0,0.0
4.0,0.750,95.250,0.0,0.0,0.0,534298624.0,315146240.0,698294272.0,2203967488.0,848.0,66.0,0.0,0.0,789.0,19.0,7.0,0.0,0.0
4.0,1.0,95.0,0.0,0.0,0.0,534126592.0,315146240.0,696688640.0,2205745152.0,2224.0,672.0,0.0,0.0,789.0,19.0,7.0,0.0,0.0
4.0,1.250,93.250,1.500,0.0,0.0,534126592.0,315162624.0,696799232.0,2205618176.0,1696.0,0.0,0.0,6.0,789.0,19.0,7.0,0.0,0.0
3.750,1.0,95.250,0.0,0.0,0.0,534208512.0,315162624.0,696844288.0,2205491200.0,2470.0,660.0,0.0,0.0,789.0,19.0,7.0,0.0,0.0
4.010,1.253,94.737,0.0,0.0,0.0,534425600.0,315162624.0,696754176.0,2205364224.0,2252.0,594.0,0.0,0.0,789.0,19.0,7.0,0.0,0.0
4.010,1.253,93.734,1.003,0.0,0.0,534011904.0,315170816.0,698048512.0,2204475392.0,1452.0,0.0,0.0,4.0,789.0,19.0,7.0,0.0,0.0
3.759,1.504,94.737,0.0,0.0,0.0,534654976.0,315170816.0,698040320.0,2203840512.0,2166.0,738.0,0.0,0.0,789.0,19.0,7.0,0.0,0.0
4.010,0.752,94.737,0.501,0.0,0.0,535126016.0,315179008.0,696594432.0,2204807168.0,1486.0,0.0,0.0,11.0,789.0,19.0,7.0,0.0,0.0
4.500,1.750,92.750,1.0,0.0,0.0,534986752.0,315187200.0,696852480.0,2204680192.0,2100.0,672.0,0.0,3.0,789.0,19.0,7.0,0.0,0.0
4.261,1.003,94.486,0.0,0.0,0.251,535257088.0,315187200.0,697978880.0,2203283456.0,4010.0,1244.0,0.0,0.0,788.0,18.0,7.0,0.0,0.0
4.738,1.247,94.015,0.0,0.0,0.0,535166976.0,315187200.0,698068992.0,2203283456.0,1955.0,774.0,0.0,0.0,789.0,19.0,7.0,0.0,0.0
4.261,1.504,93.484,0.752,0.0,0.0,535203840.0,315195392.0,698150912.0,2203156480.0,2400.0,750.0,0.0,2.0,789.0,19.0,7.0,0.0,0.0
