"Dstat 0.7.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","localhost.localdomain",,,,"User:","root"
"Cmdline:","dstat -cmnr --socket --output normal_sys_stat.csv",,,,"Date:","31 Oct 2014 05:31:08 CST"

"total cpu usage",,,,,,"memory usage",,,,"net/total",,"io/total",,"sockets",,,,
"usr","sys","idl","wai","hiq","siq","used","buff","cach","free","recv","send","read","writ","tot","tcp","udp","raw","frg"
2.651,0.831,96.183,0.330,0.001,0.006,529055744.0,321720320.0,713080832.0,2187849728.0,0.0,0.0,1.909,1.250,778.0,9.0,8.0,0.0,0.0
3.741,0.998,95.262,0.0,0.0,0.0,529367040.0,321720320.0,704397312.0,2196221952.0,1042.0,0.0,0.0,0.0,778.0,9.0,8.0,0.0,0.0
3.759,1.003,95.238,0.0,0.0,0.0,529772544.0,321720320.0,703864832.0,2196348928.0,1259.0,0.0,0.0,0.0,778.0,9.0,8.0,0.0,0.0
4.250,1.0,94.750,0.0,0.0,0.0,529682432.0,321720320.0,703827968.0,2196475904.0,964.0,0.0,0.0,0.0,778.0,9.0,8.0,0.0,0.0
3.750,1.0,94.750,0.500,0.0,0.0,529801216.0,321728512.0,703827968.0,2196348928.0,720.0,0.0,0.0,7.0,778.0,9.0,8.0,0.0,0.0
3.509,0.752,95.739,0.0,0.0,0.0,529801216.0,321728512.0,703827968.0,2196348928.0,2071.0,180.0,0.0,0.0,777.0,9.0,7.0,0.0,0.0
6.0,1.250,92.0,0.750,0.0,0.0,532238336.0,321736704.0,703827968.0,2193903616.0,660.0,0.0,0.0,2.0,777.0,9.0,7.0,0.0,0.0
3.242,1.247,95.511,0.0,0.0,0.0,532365312.0,321736704.0,703827968.0,2193776640.0,720.0,0.0,0.0,0.0,777.0,9.0,7.0,0.0,0.0
3.759,1.003,95.238,0.0,0.0,0.0,532348928.0,321736704.0,703827968.0,2193793024.0,1411.0,0.0,0.0,0.0,777.0,9.0,7.0,0.0,0.0
4.0,1.0,94.250,0.750,0.0,0.0,532340736.0,321744896.0,703827968.0,2193793024.0,1286.0,0.0,0.0,3.0,777.0,9.0,7.0,0.0,0.0
3.015,1.005,95.980,0.0,0.0,0.0,532324352.0,321744896.0,703827968.0,2193809408.0,1084.0,0.0,0.0,0.0,777.0,9.0,7.0,0.0,0.0
3.234,1.244,95.522,0.0,0.0,0.0,532324352.0,321744896.0,703827968.0,2193809408.0,1471.0,0.0,0.0,0.0,777.0,9.0,7.0,0.0,0.0
3.266,1.005,95.226,0.503,0.0,0.0,532316160.0,321753088.0,703827968.0,2193809408.0,1056.0,0.0,0.0,2.0,777.0,9.0,7.0,0.0,0.0
3.990,0.998,95.012,0.0,0.0,0.0,532316160.0,321753088.0,703827968.0,2193809408.0,752.0,0.0,0.0,0.0,777.0,9.0,7.0,0.0,0.0
3.500,0.750,95.250,0.500,0.0,0.0,532307968.0,321761280.0,703827968.0,2193809408.0,1569.0,0.0,0.0,3.0,777.0,9.0,7.0,0.0,0.0
3.258,1.003,95.739,0.0,0.0,0.0,532307968.0,321761280.0,703827968.0,2193809408.0,840.0,0.0,0.0,0.0,777.0,9.0,7.0,0.0,0.0
3.509,0.752,95.739,0.0,0.0,0.0,532307968.0,321761280.0,703827968.0,2193809408.0,840.0,0.0,0.0,0.0,777.0,9.0,7.0,0.0,0.0
3.759,1.003,95.238,0.0,0.0,0.0,532307968.0,321761280.0,703827968.0,2193809408.0,8496.0,739.0,0.0,0.0,777.0,9.0,7.0,0.0,0.0
3.242,0.998,94.763,0.998,0.0,0.0,532303872.0,321769472.0,703823872.0,2193809408.0,11610.0,0.0,0.0,2.0,777.0,9.0,7.0,0.0,0.0
3.759,1.003,94.737,0.501,0.0,0.0,532279296.0,321777664.0,703840256.0,2193809408.0,6826.0,0.0,0.0,3.0,777.0,9.0,7.0,0.0,0.0
3.500,1.250,95.250,0.0,0.0,0.0,532279296.0,321777664.0,703840256.0,2193809408.0,4719.0,0.0,0.0,0.0,777.0,9.0,7.0,0.0,0.0
