"Dstat 0.7.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","localhost.localdomain",,,,"User:","root"
"Cmdline:","dstat -cmnr --socket --output r_err_protocol_sys_stat.csv",,,,"Date:","31 Oct 2014 04:52:29 CST"

"total cpu usage",,,,,,"memory usage",,,,"net/total",,"io/total",,"sockets",,,,
"usr","sys","idl","wai","hiq","siq","used","buff","cach","free","recv","send","read","writ","tot","tcp","udp","raw","frg"
2.227,0.749,96.670,0.347,0.001,0.006,536027136.0,316448768.0,708452352.0,2190778368.0,0.0,0.0,2.193,1.213,783.0,16.0,7.0,0.0,0.0
5.250,1.500,93.250,0.0,0.0,0.0,535965696.0,316448768.0,707252224.0,2192039936.0,964.0,42.0,0.0,0.0,783.0,16.0,7.0,0.0,0.0
8.543,1.508,89.950,0.0,0.0,0.0,535494656.0,316448768.0,709246976.0,2190516224.0,1348.0,360.0,0.0,0.0,783.0,16.0,7.0,0.0,0.0
3.518,1.256,95.226,0.0,0.0,0.0,535613440.0,316448768.0,709128192.0,2190516224.0,1094.0,180.0,0.0,0.0,783.0,16.0,7.0,0.0,0.0
4.0,1.500,92.750,1.750,0.0,0.0,535855104.0,316465152.0,705822720.0,2193563648.0,1077.0,173.0,0.0,10.0,783.0,16.0,7.0,0.0,0.0
5.750,1.500,92.750,0.0,0.0,0.0,532832256.0,316465152.0,707321856.0,2195087360.0,3114.0,1622.0,0.0,0.0,787.0,20.0,7.0,0.0,0.0
5.013,1.253,93.734,0.0,0.0,0.0,532713472.0,316465152.0,708710400.0,2193817600.0,1217.0,342.0,0.0,0.0,788.0,21.0,7.0,0.0,0.0
8.250,1.500,90.250,0.0,0.0,0.0,533233664.0,316465152.0,708698112.0,2193309696.0,1024.0,0.0,0.0,0.0,788.0,21.0,7.0,0.0,0.0
5.276,1.256,92.462,1.005,0.0,0.0,533946368.0,316473344.0,705691648.0,2195595264.0,840.0,0.0,0.0,2.0,788.0,21.0,7.0,0.0,0.0
3.759,1.253,94.987,0.0,0.0,0.0,533803008.0,316473344.0,705708032.0,2195722240.0,1800.0,0.0,0.0,0.0,788.0,21.0,7.0,0.0,0.0
4.0,1.250,92.500,2.250,0.0,0.0,533225472.0,316489728.0,707284992.0,2194706432.0,3106.0,462.0,0.0,9.0,788.0,21.0,7.0,0.0,0.0
4.0,1.500,94.500,0.0,0.0,0.0,533766144.0,316489728.0,708775936.0,2192674816.0,1402.0,132.0,0.0,0.0,788.0,21.0,7.0,0.0,0.0
7.035,1.759,91.206,0.0,0.0,0.0,533934080.0,316489728.0,708734976.0,2192547840.0,904.0,0.0,0.0,0.0,788.0,21.0,7.0,0.0,0.0
6.767,1.754,91.479,0.0,0.0,0.0,533737472.0,316489728.0,708677632.0,2192801792.0,964.0,0.0,0.0,7.0,788.0,21.0,7.0,0.0,0.0
3.250,1.0,95.750,0.0,0.0,0.0,533782528.0,316489728.0,708759552.0,2192674816.0,844.0,0.0,0.0,0.0,788.0,21.0,7.0,0.0,0.0
3.258,1.504,94.236,0.752,0.0,0.251,533827584.0,316497920.0,707182592.0,2194198528.0,4195.0,1668.0,0.0,7.0,788.0,21.0,7.0,0.0,0.0
3.759,1.003,94.737,0.501,0.0,0.0,533848064.0,316506112.0,707280896.0,2194071552.0,900.0,0.0,0.0,2.0,788.0,21.0,7.0,0.0,0.0
6.500,1.500,92.0,0.0,0.0,0.0,534274048.0,316506112.0,708632576.0,2192293888.0,1852.0,462.0,0.0,0.0,788.0,21.0,7.0,0.0,0.0
3.750,1.0,95.250,0.0,0.0,0.0,534409216.0,316506112.0,708624384.0,2192166912.0,752.0,0.0,0.0,1.0,788.0,21.0,7.0,0.0,0.0
5.764,1.504,91.729,1.003,0.0,0.0,534487040.0,316514304.0,705236992.0,2195468288.0,1024.0,0.0,0.0,4.0,788.0,21.0,7.0,0.0,0.0
2.993,1.247,94.763,0.998,0.0,0.0,534585344.0,316522496.0,707923968.0,2192674816.0,2036.0,462.0,0.0,6.0,788.0,21.0,7.0,0.0,0.0
3.008,1.253,95.739,0.0,0.0,0.0,534425600.0,316522496.0,708083712.0,2192674816.0,872.0,0.0,0.0,0.0,788.0,21.0,7.0,0.0,0.0
7.035,1.759,90.704,0.503,0.0,0.0,534163456.0,316530688.0,708083712.0,2192928768.0,1824.0,462.0,0.0,2.0,788.0,21.0,7.0,0.0,0.0
4.750,1.500,93.750,0.0,0.0,0.0,534323200.0,316530688.0,708050944.0,2192801792.0,964.0,0.0,0.0,7.0,788.0,21.0,7.0,0.0,0.0
6.015,1.253,92.732,0.0,0.0,0.0,534069248.0,316530688.0,708050944.0,2193055744.0,1670.0,0.0,0.0,0.0,788.0,21.0,7.0,0.0,0.0
4.250,1.500,93.0,1.250,0.0,0.0,534290432.0,316547072.0,708067328.0,2192801792.0,3183.0,1174.0,0.0,9.0,786.0,19.0,7.0,0.0,0.0
4.261,1.253,94.486,0.0,0.0,0.0,534437888.0,316547072.0,708173824.0,2192547840.0,2050.0,832.0,0.0,0.0,788.0,21.0,7.0,0.0,0.0
6.767,1.754,91.479,0.0,0.0,0.0,534474752.0,316547072.0,708136960.0,2192547840.0,1652.0,408.0,0.0,0.0,788.0,21.0,7.0,0.0,0.0
4.738,1.746,92.768,0.748,0.0,0.0,535179264.0,316555264.0,706789376.0,2193182720.0,2074.0,750.0,0.0,2.0,788.0,21.0,7.0,0.0,0.0
4.261,1.504,94.236,0.0,0.0,0.0,534306816.0,316555264.0,708169728.0,2192674816.0,1464.0,264.0,0.0,0.0,788.0,21.0,7.0,0.0,0.0
6.767,1.253,91.479,0.501,0.0,0.0,534401024.0,316567552.0,708190208.0,2192547840.0,1966.0,330.0,0.0,3.0,788.0,21.0,7.0,0.0,0.0
4.271,1.256,94.472,0.0,0.0,0.0,534523904.0,316567552.0,707940352.0,2192674816.0,2048.0,264.0,0.0,0.0,788.0,21.0,7.0,0.0,0.0
7.481,1.995,90.524,0.0,0.0,0.0,534515712.0,316567552.0,708075520.0,2192547840.0,1706.0,330.0,0.0,0.0,788.0,21.0,7.0,0.0,0.0
