"Dstat 0.7.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","localhost.localdomain",,,,"User:","root"
"Cmdline:","dstat -cmnr --socket --output r_err_topic_sys_stat.csv",,,,"Date:","31 Oct 2014 05:02:54 CST"

"total cpu usage",,,,,,"memory usage",,,,"net/total",,"io/total",,"sockets",,,,
"usr","sys","idl","wai","hiq","siq","used","buff","cach","free","recv","send","read","writ","tot","tcp","udp","raw","frg"
2.357,0.774,96.522,0.341,0.001,0.006,536293376.0,317767680.0,705978368.0,2191667200.0,0.0,0.0,2.108,1.217,782.0,14.0,7.0,0.0,0.0
5.500,2.0,92.500,0.0,0.0,0.0,536289280.0,317767680.0,706117632.0,2191532032.0,996.0,0.0,0.0,0.0,782.0,14.0,7.0,0.0,0.0
7.789,1.508,90.704,0.0,0.0,0.0,536453120.0,317767680.0,707604480.0,2189881344.0,4384.0,2004.0,0.0,0.0,787.0,19.0,7.0,0.0,0.0
4.0,1.250,94.0,0.750,0.0,0.0,537001984.0,317775872.0,707174400.0,2189754368.0,1234.0,0.0,0.0,4.0,787.0,19.0,7.0,0.0,0.0
6.516,1.754,90.977,0.752,0.0,0.0,536186880.0,317784064.0,708362240.0,2189373440.0,904.0,0.0,0.0,7.0,787.0,19.0,7.0,0.0,0.0
4.261,1.003,94.737,0.0,0.0,0.0,536354816.0,317784064.0,708321280.0,2189246464.0,900.0,0.0,0.0,0.0,787.0,19.0,7.0,0.0,0.0
3.500,1.250,95.250,0.0,0.0,0.0,536743936.0,317784064.0,705392640.0,2191785984.0,660.0,0.0,0.0,0.0,787.0,19.0,7.0,0.0,0.0
8.020,1.754,89.975,0.0,0.0,0.251,536158208.0,317784064.0,708263936.0,2189500416.0,2022.0,528.0,0.0,0.0,787.0,19.0,7.0,0.0,0.0
4.738,1.746,92.269,1.247,0.0,0.0,536248320.0,317792256.0,708292608.0,2189373440.0,1310.0,0.0,0.0,14.0,787.0,19.0,7.0,0.0,0.0
5.013,1.504,91.980,1.504,0.0,0.0,536715264.0,317808640.0,706252800.0,2190929920.0,996.0,0.0,0.0,9.0,787.0,19.0,7.0,0.0,0.0
6.266,1.754,91.980,0.0,0.0,0.0,536698880.0,317808640.0,706269184.0,2190929920.0,904.0,0.0,0.0,0.0,787.0,19.0,7.0,0.0,0.0
4.010,1.003,94.987,0.0,0.0,0.0,536866816.0,317808640.0,705593344.0,2191437824.0,1484.0,0.0,0.0,0.0,787.0,19.0,7.0,0.0,0.0
9.500,2.0,88.500,0.0,0.0,0.0,532975616.0,317808640.0,706945024.0,2193977344.0,4379.0,1644.0,0.0,0.0,787.0,19.0,7.0,0.0,0.0
3.759,1.253,94.987,0.0,0.0,0.0,533381120.0,317808640.0,706920448.0,2193596416.0,1616.0,78.0,0.0,0.0,787.0,19.0,7.0,0.0,0.0
3.759,1.253,94.987,0.0,0.0,0.0,533594112.0,317808640.0,705310720.0,2194993152.0,1429.0,138.0,0.0,0.0,788.0,19.0,8.0,0.0,0.0
7.305,1.259,89.673,1.763,0.0,0.0,533323776.0,317825024.0,708231168.0,2192326656.0,1988.0,594.0,0.0,8.0,788.0,19.0,8.0,0.0,0.0
3.990,1.746,94.264,0.0,0.0,0.0,533159936.0,317825024.0,708472832.0,2192248832.0,1084.0,0.0,0.0,0.0,788.0,19.0,8.0,0.0,0.0
8.772,1.754,89.474,0.0,0.0,0.0,533467136.0,317825024.0,706895872.0,2193518592.0,2482.0,594.0,0.0,0.0,788.0,19.0,8.0,0.0,0.0
4.774,1.256,93.970,0.0,0.0,0.0,533868544.0,317825024.0,706875392.0,2193137664.0,1064.0,78.0,0.0,0.0,788.0,19.0,8.0,0.0,0.0
5.0,1.250,93.750,0.0,0.0,0.0,534429696.0,317825024.0,705298432.0,2194153472.0,1355.0,111.0,0.0,0.0,788.0,19.0,8.0,0.0,0.0
4.261,1.754,93.233,0.752,0.0,0.0,533946368.0,317833216.0,706662400.0,2193264640.0,2176.0,672.0,0.0,7.0,788.0,19.0,8.0,0.0,0.0
5.013,1.253,93.233,0.501,0.0,0.0,533917696.0,317841408.0,706777088.0,2193170432.0,572.0,0.0,0.0,2.0,788.0,19.0,8.0,0.0,0.0
8.0,2.0,90.0,0.0,0.0,0.0,533721088.0,317841408.0,707989504.0,2192154624.0,4403.0,1710.0,0.0,0.0,788.0,19.0,8.0,0.0,0.0
4.762,1.253,93.985,0.0,0.0,0.0,533458944.0,317841408.0,708251648.0,2192154624.0,1643.0,78.0,0.0,0.0,788.0,19.0,8.0,0.0,0.0
4.010,1.754,94.236,0.0,0.0,0.0,533811200.0,317841408.0,706899968.0,2193154048.0,2618.0,810.0,0.0,0.0,787.0,19.0,7.0,0.0,0.0
3.750,1.250,95.0,0.0,0.0,0.0,533647360.0,317841408.0,706945024.0,2193272832.0,1180.0,0.0,0.0,0.0,787.0,19.0,7.0,0.0,0.0
6.516,1.754,90.977,0.752,0.0,0.0,533557248.0,317849600.0,708296704.0,2192003072.0,2198.0,672.0,0.0,6.0,787.0,19.0,7.0,0.0,0.0
8.040,1.759,89.698,0.503,0.0,0.0,533495808.0,317857792.0,708349952.0,2192003072.0,1928.0,594.0,0.0,2.0,787.0,19.0,7.0,0.0,0.0
4.250,1.500,94.250,0.0,0.0,0.0,534089728.0,317857792.0,707002368.0,2192756736.0,1692.0,234.0,0.0,0.0,787.0,19.0,7.0,0.0,0.0
4.762,1.003,94.236,0.0,0.0,0.0,534016000.0,317857792.0,706727936.0,2193104896.0,1728.0,408.0,0.0,0.0,787.0,19.0,7.0,0.0,0.0
4.020,1.005,94.975,0.0,0.0,0.0,534126592.0,317857792.0,706744320.0,2192977920.0,3236.0,144.0,0.0,0.0,787.0,19.0,7.0,0.0,0.0
4.738,1.247,93.017,0.998,0.0,0.0,533962752.0,317865984.0,706789376.0,2193088512.0,14723.0,1411.0,0.0,6.0,787.0,19.0,7.0,0.0,0.0
8.772,1.504,89.724,0.0,0.0,0.0,534024192.0,317865984.0,708132864.0,2191683584.0,9386.0,1442.0,0.0,0.0,786.0,18.0,7.0,0.0,0.0
3.750,1.500,94.250,0.500,0.0,0.0,534040576.0,317874176.0,708235264.0,2191556608.0,4895.0,560.0,0.0,8.0,787.0,19.0,7.0,0.0,0.0
4.750,1.500,93.750,0.0,0.0,0.0,534073344.0,317874176.0,708235264.0,2191523840.0,1982.0,462.0,0.0,0.0,787.0,19.0,7.0,0.0,0.0
4.774,1.005,94.221,0.0,0.0,0.0,534007808.0,317874176.0,708300800.0,2191523840.0,2462.0,702.0,0.0,0.0,787.0,19.0,7.0,0.0,0.0
4.0,1.500,93.750,0.750,0.0,0.0,533962752.0,317882368.0,708337664.0,2191523840.0,2312.0,528.0,0.0,8.0,787.0,19.0,7.0,0.0,0.0
9.296,2.261,88.442,0.0,0.0,0.0,533954560.0,317882368.0,708345856.0,2191523840.0,2836.0,528.0,0.0,0.0,787.0,19.0,7.0,0.0,0.0
4.762,1.253,92.732,1.253,0.0,0.0,533983232.0,317890560.0,708308992.0,2191523840.0,1650.0,276.0,0.0,11.0,787.0,19.0,7.0,0.0,0.0
3.750,1.250,95.0,0.0,0.0,0.0,533987328.0,317890560.0,708321280.0,2191507456.0,2947.0,692.0,0.0,0.0,787.0,19.0,7.0,0.0,0.0
4.750,1.500,93.750,0.0,0.0,0.0,534077440.0,317890560.0,708231168.0,2191507456.0,2448.0,594.0,0.0,0.0,787.0,19.0,7.0,0.0,0.0
4.750,1.500,93.0,0.750,0.0,0.0,534077440.0,317898752.0,708222976.0,2191507456.0,2052.0,594.0,0.0,9.0,787.0,19.0,7.0,0.0,0.0
9.250,2.0,88.750,0.0,0.0,0.0,534118400.0,317898752.0,708308992.0,2191380480.0,4491.0,1512.0,0.0,0.0,787.0,19.0,7.0,0.0,0.0
5.750,1.250,93.0,0.0,0.0,0.0,534298624.0,317898752.0,708255744.0,2191253504.0,2518.0,1072.0,0.0,3.0,787.0,19.0,7.0,0.0,0.0
4.762,1.253,92.732,1.253,0.0,0.0,534659072.0,317915136.0,706990080.0,2192142336.0,2136.0,594.0,0.0,5.0,787.0,19.0,7.0,0.0,0.0
4.0,1.500,94.500,0.0,0.0,0.0,534753280.0,317915136.0,707022848.0,2192015360.0,2088.0,672.0,0.0,0.0,787.0,19.0,7.0,0.0,0.0
3.0,1.0,95.500,0.500,0.0,0.0,534777856.0,317923328.0,706990080.0,2192015360.0,2270.0,672.0,0.0,5.0,787.0,19.0,7.0,0.0,0.0
7.750,1.500,90.250,0.500,0.0,0.0,534888448.0,317923328.0,706879488.0,2192015360.0,2232.0,594.0,0.0,1.0,787.0,19.0,7.0,0.0,0.0
6.030,1.508,92.462,0.0,0.0,0.0,534646784.0,317923328.0,708136960.0,2190999552.0,2180.0,594.0,0.0,0.0,787.0,19.0,7.0,0.0,0.0
3.741,1.247,94.763,0.0,0.0,0.249,534536192.0,317923328.0,708374528.0,2190872576.0,2542.0,816.0,0.0,0.0,787.0,19.0,7.0,0.0,0.0
4.762,1.504,92.982,0.752,0.0,0.0,534863872.0,317931520.0,707022848.0,2191888384.0,2008.0,750.0,0.0,3.0,787.0,19.0,7.0,0.0,0.0
4.500,1.250,94.0,0.250,0.0,0.0,534953984.0,317939712.0,706924544.0,2191888384.0,1928.0,594.0,0.0,5.0,787.0,19.0,7.0,0.0,0.0
7.769,1.754,89.975,0.501,0.0,0.0,534372352.0,317939712.0,708124672.0,2191269888.0,2801.0,902.0,0.0,1.0,786.0,18.0,7.0,0.0,0.0
5.500,1.750,92.750,0.0,0.0,0.0,534519808.0,317939712.0,708231168.0,2191015936.0,3028.0,1492.0,0.0,0.0,787.0,19.0,7.0,0.0,0.0
6.533,1.508,91.960,0.0,0.0,0.0,534515712.0,317939712.0,708345856.0,2190905344.0,2000.0,738.0,0.0,0.0,787.0,19.0,7.0,0.0,0.0
4.750,1.250,94.0,0.0,0.0,0.0,534523904.0,317939712.0,708337664.0,2190905344.0,1808.0,594.0,0.0,0.0,787.0,19.0,7.0,0.0,0.0
4.010,1.504,93.484,1.003,0.0,0.0,534593536.0,317947904.0,708259840.0,2190905344.0,1922.0,660.0,0.0,3.0,787.0,19.0,7.0,0.0,0.0
8.500,1.750,89.250,0.500,0.0,0.0,534757376.0,317956096.0,708087808.0,2190905344.0,2672.0,924.0,0.0,5.0,787.0,19.0,7.0,0.0,0.0
5.025,1.256,93.719,0.0,0.0,0.0,534487040.0,317956096.0,708104192.0,2191159296.0,2778.0,924.0,0.0,0.0,787.0,19.0,7.0,0.0,0.0
7.500,1.750,90.750,0.0,0.0,0.0,534515712.0,317956096.0,708329472.0,2190905344.0,2454.0,594.0,0.0,0.0,787.0,19.0,7.0,0.0,0.0
4.762,1.504,93.734,0.0,0.0,0.0,534560768.0,317956096.0,708284416.0,2190905344.0,1908.0,672.0,0.0,0.0,787.0,19.0,7.0,0.0,0.0
4.500,1.500,94.0,0.0,0.0,0.0,534560768.0,317956096.0,708284416.0,2190905344.0,1890.0,660.0,0.0,0.0,787.0,19.0,7.0,0.0,0.0
8.0,1.750,88.500,1.750,0.0,0.0,534810624.0,317972480.0,708145152.0,2190778368.0,2436.0,660.0,0.0,9.0,782.0,14.0,7.0,0.0,0.0
5.013,1.754,93.233,0.0,0.0,0.0,534724608.0,317972480.0,708231168.0,2190778368.0,4675.0,2452.0,0.0,5.0,787.0,19.0,7.0,0.0,0.0
5.514,1.504,92.982,0.0,0.0,0.0,534720512.0,317972480.0,706965504.0,2192048128.0,2490.0,909.0,0.0,0.0,788.0,19.0,8.0,0.0,0.0
6.234,1.995,91.771,0.0,0.0,0.0,534654976.0,317972480.0,707031040.0,2192048128.0,3812.0,1332.0,0.0,0.0,788.0,19.0,8.0,0.0,0.0
