"Dstat 0.7.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","localhost.localdomain",,,,"User:","root"
"Cmdline:","dstat -cmnr --socket --output r_pub_sys_stat.csv",,,,"Date:","31 Oct 2014 05:24:41 CST"

"total cpu usage",,,,,,"memory usage",,,,"net/total",,"io/total",,"sockets",,,,
"usr","sys","idl","wai","hiq","siq","used","buff","cach","free","recv","send","read","writ","tot","tcp","udp","raw","frg"
2.604,0.817,96.241,0.331,0.001,0.006,536715264.0,320602112.0,704270336.0,2190118912.0,0.0,0.0,1.951,1.233,782.0,14.0,7.0,0.0,0.0
5.721,1.741,92.537,0.0,0.0,0.0,536952832.0,320602112.0,704548864.0,2189602816.0,1379.0,0.0,0.0,0.0,782.0,14.0,7.0,0.0,0.0
4.489,1.496,94.015,0.0,0.0,0.0,537092096.0,320602112.0,704409600.0,2189602816.0,1377.0,332.0,0.0,0.0,782.0,14.0,7.0,0.0,0.0
4.261,1.003,94.236,0.501,0.0,0.0,536727552.0,320610304.0,705527808.0,2188840960.0,1750.0,246.0,0.0,6.0,782.0,14.0,7.0,0.0,0.0
4.489,1.496,93.516,0.499,0.0,0.0,537169920.0,320618496.0,705458176.0,2188460032.0,3812.0,1734.0,0.0,3.0,787.0,19.0,7.0,0.0,0.0
6.219,1.244,92.537,0.0,0.0,0.0,536887296.0,320618496.0,704708608.0,2189492224.0,996.0,0.0,0.0,0.0,787.0,19.0,7.0,0.0,0.0
4.950,1.733,93.317,0.0,0.0,0.0,537161728.0,320618496.0,707330048.0,2186596352.0,1470.0,0.0,0.0,4.0,787.0,19.0,7.0,0.0,0.0
4.963,1.489,93.548,0.0,0.0,0.0,537092096.0,320618496.0,706899968.0,2187096064.0,1747.0,42.0,0.0,0.0,787.0,19.0,7.0,0.0,0.0
4.750,1.750,93.500,0.0,0.0,0.0,536649728.0,320618496.0,704421888.0,2190016512.0,1508.0,0.0,0.0,0.0,787.0,19.0,7.0,0.0,0.0
5.486,1.995,91.521,0.998,0.0,0.0,536875008.0,320626688.0,706347008.0,2187857920.0,2147.0,462.0,0.0,9.0,787.0,19.0,7.0,0.0,0.0
4.250,1.250,94.250,0.250,0.0,0.0,537395200.0,320634880.0,704548864.0,2189127680.0,1563.0,0.0,0.0,2.0,787.0,19.0,7.0,0.0,0.0
4.261,1.003,94.737,0.0,0.0,0.0,537415680.0,320634880.0,704028672.0,2189627392.0,1560.0,0.0,0.0,0.0,787.0,19.0,7.0,0.0,0.0
4.010,1.253,94.737,0.0,0.0,0.0,537444352.0,320634880.0,703746048.0,2189881344.0,900.0,138.0,0.0,0.0,788.0,19.0,8.0,0.0,0.0
4.500,1.0,94.500,0.0,0.0,0.0,537374720.0,320634880.0,703688704.0,2190008320.0,1437.0,0.0,0.0,0.0,783.0,14.0,8.0,0.0,0.0
3.250,1.0,95.250,0.500,0.0,0.0,536928256.0,320643072.0,705396736.0,2188738560.0,2852.0,1174.0,0.0,8.0,786.0,17.0,8.0,0.0,0.0
5.250,1.500,93.250,0.0,0.0,0.0,538910720.0,320643072.0,705478656.0,2186674176.0,2190.0,684.0,0.0,0.0,788.0,19.0,8.0,0.0,0.0
3.759,1.003,94.737,0.501,0.0,0.0,539095040.0,320651264.0,705396736.0,2186563584.0,3241.0,474.0,0.0,2.0,788.0,19.0,8.0,0.0,0.0
3.759,1.504,94.737,0.0,0.0,0.0,538865664.0,320651264.0,706768896.0,2185420800.0,2137.0,480.0,0.0,0.0,787.0,19.0,7.0,0.0,0.0
3.759,0.752,95.489,0.0,0.0,0.0,538894336.0,320651264.0,706867200.0,2185293824.0,1548.0,0.0,0.0,0.0,787.0,19.0,7.0,0.0,0.0
4.010,1.003,93.734,1.253,0.0,0.0,538816512.0,320667648.0,705388544.0,2186833920.0,2524.0,552.0,0.0,12.0,787.0,19.0,7.0,0.0,0.0
4.500,1.250,94.250,0.0,0.0,0.0,538820608.0,320667648.0,705384448.0,2186833920.0,1668.0,264.0,0.0,0.0,787.0,19.0,7.0,0.0,0.0
4.250,1.250,94.500,0.0,0.0,0.0,538677248.0,320667648.0,705273856.0,2187087872.0,1781.0,396.0,0.0,8.0,787.0,19.0,7.0,0.0,0.0
4.250,1.250,93.500,1.0,0.0,0.0,538247168.0,320675840.0,706711552.0,2186072064.0,1869.0,264.0,0.0,3.0,787.0,19.0,7.0,0.0,0.0
3.250,1.250,95.500,0.0,0.0,0.0,538288128.0,320675840.0,706670592.0,2186072064.0,1990.0,66.0,0.0,0.0,787.0,19.0,7.0,0.0,0.0
